branch,queue,subqueue,queue_full,city,street,house
Полтавська,1,1,1.1,м.Полтава,пров. Федора Лизогуба-10,15
Полтавська,1,1,1.1,м.Полтава,пров. Федора Лизогуба-10,16
Полтавська,1,1,1.1,м.Полтава,пров. Федора Лизогуба-10,16а
Полтавська,1,1,1.1,м.Полтава,пров. Федора Лизогуба-10,17
Полтавська,1,1,1.1,м.Полтава,пров. Федора Лизогуба-10,3
Полтавська,1,1,1.1,м.Полтава,пров. Федора Лизогуба-10,3а
Полтавська,1,1,1.1,м.Полтава,пров. Федора Лизогуба-10,4
Полтавська,1,1,1.1,м.Полтава,пров. Федора Лизогуба-10,4а
Полтавська,1,1,1.1,м.Полтава,пров. Федора Лизогуба-10,5
Полтавська,1,1,1.1,м.Полтава,пров. Федора Лизогуба-10,6
Полтавська,1,1,1.1,м.Полтава,пров. Федора Лизогуба-10,7
Полтавська,1,1,1.1,м.Полтава,пров. Федора Лизогуба-10,7а
Полтавська,1,1,1.1,м.Полтава,пров. Федора Лизогуба-10,8
Полтавська,1,1,1.1,м.Полтава,вул. Героїв України,10
Полтавська,1,1,1.1,м.Полтава,вул. Героїв України,12
Полтавська,1,1,1.1,м.Полтава,вул. Героїв України,14
Полтавська,1,1,1.1,м.Полтава,вул. Героїв України,22
Полтавська,1,1,1.1,м.Полтава,вул. Героїв України,22г
Полтавська,1,1,1.1,м.Полтава,вул. Героїв України,4
Полтавська,1,1,1.1,м.Полтава,вул. Спаська,10
Полтавська,1,1,1.1,м.Полтава,вул. Строни 2В,5
Полтавська,1,1,1.1,м.Полтава,вул. Строни 2В,9
Полтавська,1,1,1.1,м.Полтава,вул. Строни 2В,9Б
Полтавська,1,1,1.1,м.Полтава,вул. Строни 2В,11А
Полтавська,1,1,1.1,м.Полтава,вул. Строни 2В,11Б
Полтавська,1,1,1.1,м.Полтава,вул. Строни 2В,15А
Полтавська,1,1,1.1,м.Полтава,вул. Строни 15,15А
Полтавська,1,1,1.1,м.Полтава,вул. Строни 15,19
Полтавська,1,1,1.1,м.Полтава,вул. Портова,21
Полтавська,3,1,3.1,м.Полтава,вул. Чумацький Шлях,64
Полтавська,3,1,3.1,м.Полтава,вул. Ю. Кондратюка 17,19
Полтавська,3,1,3.1,м.Полтава,вул. Шевченка1,2
Полтавська,3,1,3.1,м.Полтава,вул. Шевченка1,3
Полтавська,3,1,3.1,м.Полтава,вул. Шевченка1,4
Полтавська,3,1,3.1,м.Полтава,вул. Шевченка1,6
Полтавська,3,1,3.1,м.Полтава,вул. Шевченка1,8
Полтавська,3,1,3.1,м.Полтава,вул. Шевченка1,8А5
Полтавська,3,1,3.1,м.Полтава,вул. Шевченка1,7
Полтавська,3,1,3.1,м.Полтава,вул. Будівельників,56-Б)
Полтавська,5,1,5.1,м.Полтава,вул. Гоголя,34
Полтавська,5,1,5.1,м.Полтава,вул. Симона Петлюри,79
Полтавська,5,1,5.1,м.Полтава,вул. Незалежності,1а
Полтавська,5,1,5.1,м.Полтава,вул. Незалежності,1б
Полтавська,5,1,5.1,м.Полтава,вул. Незалежності,3
Полтавська,5,1,5.1,м.Полтава,вул. Незалежності,3а
Полтавська,5,1,5.1,м.Полтава,вул. Незалежності,5а
Полтавська,5,1,5.1,м.Полтава,вул. Незалежності,7
Полтавська,5,1,5.1,м.Полтава,вул. Незалежності,25а
